,Code,Country,City,Latitude,Longitude,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
66,GHA,Ghana,Accra,5.55,-0.2167,47128000000,48342000000,49560000000,50776000000,51992000000,53216000000,54448000000,55698000000,56964000000,58242000000,59534000000,60836000000
67,GIN,Guinea,Conakry,9.5315,-13.6802,19478000000,19928000000,20384000000,20840000000,21304000000,21786000000,22302000000,22864000000,23476000000,24136000000,24828000000,25542000000
68,GMB,"Gambia, The",Banjul,13.4539,-16.5917,3378000000,3480000000,3586000000,3696000000,3810000000,3928000000,4048000000,4172000000,4298000000,4428000000,4560000000,4696000000
69,GNB,Guinea-Bissau,Bissau,11.865,-15.5984,2894000000,2968000000,3046000000,3126000000,3210000000,3296000000,3384000000,3474000000,3564000000,3656000000,3748000000,3842000000
70,GNQ,Equatorial Guinea,Malabo,3.75,8.7833,1722000000,1804000000,1888000000,1974000000,2062000000,2152000000,2244000000,2338000000,2430000000,2524000000,2618000000,2712000000
71,GRC,Greece,Athens,37.9833,23.7333,22080000000,21918000000,21776000000,21658000000,21562000000,21482000000,21402000000,21320000000,21230000000,21138000000,21044000000,20946000000
72,GRD,Grenada,Saint George’s,12.0526,-61.7416,210000000,212000000,212000000,214000000,214000000,216000000,218000000,220000000,220000000,222000000,222000000,224000000
73,GTM,Guatemala,Guatemala City,14.6211,-90.527,28012000000,28632000000,29260000000,29898000000,30542000000,31192000000,31846000000,32504000000,33166000000,33830000000,34496000000,35162000000
74,GUM,Guam,Hagåtña,13.4745,144.7504,318000000,318000000,318000000,320000000,320000000,320000000,322000000,324000000,326000000,328000000,332000000,334000000
75,GUY,Guyana,Georgetown,6.8020000000000005,-58.167,1494000000,1496000000,1498000000,1504000000,1510000000,1518000000,1526000000,1534000000,1542000000,1550000000,1558000000,1566000000
76,HND,Honduras,Tegucigalpa,14.102,-87.2175,15962000000,16302000000,16634000000,16962000000,17282000000,17598000000,17912000000,18226000000,18542000000,18858000000,19176000000,19492000000
77,HRV,Croatia,Zagreb,45.8,16.0,8706000000,8682000000,8656000000,8626000000,8592000000,8554000000,8512000000,8466000000,8418000000,8366000000,8312000000,8260000000
78,HTI,Haiti,Port-au-Prince,18.541,-72.336,19294000000,19596000000,19898000000,20200000000,20502000000,20802000000,21098000000,21392000000,21680000000,21964000000,22246000000,22526000000
79,HUN,Hungary,Budapest,47.5,19.0833,19984000000,19918000000,19854000000,19792000000,19728000000,19668000000,19610000000,19556000000,19506000000,19460000000,19416000000,19370000000
80,IDN,Indonesia,Jakarta,-6.1744,106.8294,470940000000,477241984000,483668000000,490232000000,496904000000,503609984000,510256000000,516766016000,523112000000,529302016000,535342016000,541251968000
81,IND,India,New Delhi,28.6,77.2,2401339904000,2435451904000,2468561920000,2500576000000,2531559936000,2561683968000,2591202048000,2620303872000,2649033984000,2677353984000,2705284096000,2732836096000
82,IRL,Ireland,Dublin,53.3331,-6.2489,8832000000,8990000000,9108000000,9182000000,9216000000,9230000000,9254000000,9304000000,9392000000,9506000000,9638000000,9764000000
83,IRN,Iran,Tehran,35.6719,51.4243,144242000000,145850000000,147526000000,149270000000,151080000000,152964000000,154932000000,156984000000,159128000000,161348000000,163600000000,165828000000
84,IRQ,Iraq,Baghdad,33.3386,44.3939,56772000000,57946000000,59484000000,61450000000,63780000000,66314000000,68824000000,71144000000,73222000000,75106000000,76868000000,78620000000
85,ISL,Iceland,Reykjavík,64.15,-21.95,622000000,632000000,640000000,646000000,652000000,654000000,658000000,660000000,664000000,668000000,674000000,678000000
86,ISR,Israel,Jerusalem,31.7784,35.2066,14042000000,14380000000,14692000000,14974000000,15230000000,15470000000,15708000000,15956000000,16218000000,16488000000,16764000000,17038000000
87,ITA,Italy,Rome,41.896,12.4833,117844000000,118212000000,118650000000,119178000000,119758000000,120334000000,120820000000,121156000000,121326000000,121348000000,121254000000,121100000000
88,JAM,Jamaica,Kingston,17.9771,-76.7674,5564000000,5592000000,5620000000,5652000000,5684000000,5718000000,5750000000,5782000000,5812000000,5842000000,5870000000,5896000000
89,JOR,Jordan,Amman,31.95,35.9333,13112000000,13786000000,14524000000,15326000000,16180000000,17038000000,17838000000,18534000000,19108000000,19572000000,19930000000,20204000000
90,JPN,Japan,Tokyo,35.685,139.7514,257078000000,257110000000,257084000000,256998000000,256848000000,256628000000,256338000000,255970000000,255526000000,255006000000,254404000000,253720000000
91,KAZ,Kazakhstan,Nur-Sultan,51.1811,71.4278,31724000000,32086000000,32504000000,32982000000,33504000000,34052000000,34606000000,35144000000,35662000000,36160000000,36640000000,37102000000
92,KEN,Kenya,Nairobi,-1.2833,36.8167,79584000000,81804000000,84062000000,86356000000,88686000000,91040000000,93400000000,95756000000,98104000000,100442000000,102786000000,105148000000
93,KGZ,Kyrgyzstan,Bishkek,42.8731,74.5852,10510000000,10670000000,10844000000,11036000000,11244000000,11462000000,11690000000,11918000000,12148000000,12380000000,12608000000,12832000000
94,KHM,Cambodia,Phnom Penh,11.55,104.9166,27768000000,28188000000,28624000000,29082000000,29560000000,30052000000,30550000000,31042000000,31532000000,32018000000,32500000000,32974000000
95,KIR,Kiribati,Tarawa,1.3382,173.0176,198000000,202000000,206000000,210000000,212000000,216000000,218000000,222000000,226000000,228000000,232000000,236000000
96,KNA,Saint Kitts And Nevis,Basseterre,17.302,-62.717,96000000,98000000,98000000,98000000,100000000,100000000,102000000,102000000,104000000,104000000,104000000,106000000
97,KOR,"Korea, South",Seoul,37.5663,126.9997,98364000000,98694000000,99092000000,99572000000,100122000000,100692000000,101216000000,101646000000,101966000000,102192000000,102344000000,102450000000
98,KWT,Kuwait,Kuwait City,29.3697,47.9783,5312000000,5642000000,5984000000,6336000000,6698000000,7052000000,7382000000,7672000000,7914000000,8112000000,8274000000,8414000000
99,LAO,Laos,Vientiane,17.9667,102.6,12094000000,12298000000,12498000000,12696000000,12890000000,13082000000,13280000000,13482000000,13692000000,13906000000,14122000000,14338000000
100,LBN,Lebanon,Beirut,33.872,35.5097,9530000000,9626000000,9906000000,10404000000,11076000000,11826000000,12522000000,13066000000,13428000000,13638000000,13718000000,13712000000
101,LBR,Liberia,Monrovia,6.3106,-10.8048,7216000000,7508000000,7782000000,8034000000,8272000000,8496000000,8720000000,8944000000,9174000000,9404000000,9638000000,9874000000
102,LBY,Libya,Tripoli,32.8925,13.18,12118000000,12268000000,12396000000,12494000000,12572000000,12640000000,12724000000,12836000000,12984000000,13162000000,13358000000,13554000000
103,LCA,Saint Lucia,Castries,14.002,-61.0,340000000,344000000,348000000,352000000,354000000,356000000,356000000,358000000,360000000,362000000,364000000,366000000
104,LIE,Liechtenstein,Vaduz,47.1337,9.5167,70000000,72000000,72000000,72000000,74000000,74000000,74000000,74000000,76000000,76000000,76000000,76000000
105,LKA,Sri Lanka,Colombo,6.932,79.8578,39968000000,40248000000,40524000000,40796000000,41066000000,41326000000,41578000000,41816000000,42042000000,42256000000,42458000000,42648000000
106,LKA,Sri Lanka,Sri Jayewardenepura Kotte,6.9,79.95,39968000000,40248000000,40524000000,40796000000,41066000000,41326000000,41578000000,41816000000,42042000000,42256000000,42458000000,42648000000
107,LSO,Lesotho,Maseru,-29.3167,27.4833,3974000000,3980000000,3992000000,4008000000,4030000000,4058000000,4086000000,4118000000,4150000000,4184000000,4216000000,4250000000
108,LTU,Lithuania,Vilnius,54.6834,25.3166,6426000000,6334000000,6248000000,6166000000,6092000000,6018000000,5942000000,5864000000,5780000000,5690000000,5602000000,5520000000
109,LUX,Luxembourg,Luxembourg,49.6117,6.13,970000000,994000000,1016000000,1038000000,1062000000,1086000000,1110000000,1134000000,1158000000,1184000000,1208000000,1232000000
110,LVA,Latvia,Riga,56.95,24.1,4342000000,4290000000,4238000000,4188000000,4138000000,4090000000,4042000000,3996000000,3948000000,3902000000,3856000000,3814000000
111,MAR,Morocco,Rabat,34.0253,-6.8361,63074000000,63858000000,64686000000,65564000000,66484000000,67432000000,68384000000,69328000000,70252000000,71162000000,72058000000,72944000000
112,MCO,Monaco,Monaco,43.7396,7.4069,70000000,70000000,72000000,72000000,72000000,74000000,74000000,76000000,76000000,76000000,78000000,78000000
113,MDA,Moldova,Chisinau,47.005,28.8577,8226000000,8196000000,8172000000,8158000000,8152000000,8150000000,8146000000,8142000000,8132000000,8120000000,8104000000,8086000000
114,MDG,Madagascar,Antananarivo,-18.9166,47.5166,39992000000,41138000000,42304000000,43488000000,44694000000,45922000000,47180000000,48468000000,49788000000,51142000000,52524000000,53938000000
115,MDV,Maldives,Male,4.1667,73.4999,686000000,706000000,732000000,760000000,794000000,832000000,870000000,910000000,952000000,992000000,1032000000,1062000000
116,MEX,Mexico,Mexico City,19.4424,-99.131,221630000000,224928000000,228186000000,231390000000,234548000000,237654000000,240710000000,243716000000,246666000000,249554000000,252382000000,255152000000
117,MHL,Marshall Islands,Majuro,7.103,171.38,112000000,112000000,112000000,114000000,114000000,114000000,114000000,114000000,116000000,116000000,116000000,118000000
118,MKD,Macedonia,Skopje,42.0,21.4335,4134000000,4138000000,4142000000,4144000000,4148000000,4152000000,4156000000,4158000000,4162000000,4164000000,4166000000,4166000000
119,MLI,Mali,Bamako,12.65,-8.0,28228000000,29162000000,30098000000,31030000000,31958000000,32900000000,33868000000,34878000000,35930000000,37024000000,38156000000,39316000000
120,MLT,Malta,Valletta,35.8997,14.5147,818000000,824000000,828000000,836000000,844000000,852000000,860000000,868000000,872000000,876000000,878000000,880000000
121,MMR,Burma,Nay Pyi Taw,19.7666,96.1186,99860000000,100500000000,101202000000,101982000000,102828000000,103704000000,104562000000,105362000000,106090000000,106766000000,107416000000,108090000000
122,MNE,Montenegro,Podgorica,42.466,19.2663,1242000000,1246000000,1248000000,1250000000,1252000000,1252000000,1254000000,1254000000,1254000000,1256000000,1256000000,1256000000
123,MNG,Mongolia,Ulaanbaatar,47.9167,106.9166,5264000000,5348000000,5440000000,5540000000,5650000000,5764000000,5880000000,5996000000,6112000000,6228000000,6340000000,6450000000
124,MNP,Northern Mariana Islands,Capitol Hill,15.2137,145.7546,110000000,108000000,108000000,108000000,108000000,110000000,110000000,112000000,112000000,114000000,114000000,114000000
125,MOZ,Mozambique,Maputo,-25.9553,32.5892,44554000000,45790000000,47064000000,48376000000,49726000000,51122000000,52572000000,54084000000,55660000000,57298000000,58992000000,60732000000
126,MRT,Mauritania,Nouakchott,18.0864,-15.9753,6592000000,6786000000,6988000000,7198000000,7414000000,7634000000,7862000000,8092000000,8328000000,8566000000,8806000000,9052000000
127,MUS,Mauritius,Port Louis,-20.1666,57.5,2478000000,2488000000,2496000000,2502000000,2506000000,2510000000,2514000000,2518000000,2524000000,2528000000,2534000000,2540000000
128,MWI,Malawi,Lilongwe,-13.9833,33.7833,27456000000,28256000000,29080000000,29924000000,30792000000,31678000000,32580000000,33490000000,34410000000,35340000000,36286000000,37258000000
129,MYS,Malaysia,Kuala Lumpur,3.1667,101.7,54472000000,55470000000,56416000000,57302000000,58136000000,58938000000,59734000000,60542000000,61370000000,62210000000,63056000000,63900000000
130,NAM,Namibia,Windhoek,-22.57,17.0835,4086000000,4162000000,4238000000,4314000000,4390000000,4468000000,4546000000,4630000000,4716000000,4806000000,4896000000,4990000000
131,NER,Niger,Niamey,13.5167,2.1167,30502000000,31686000000,32928000000,34230000000,35590000000,37008000000,38480000000,40004000000,41578000000,43204000000,44886000000,46622000000
132,NGA,Nigeria,Abuja,9.0833,7.5333,300540000000,308649984000,317006016000,325609984000,334457984000,343532000000,352809984000,362273984000,371920000000,381745984000,391750016000,401928000000
133,NIC,Nicaragua,Managua,12.152999999999999,-86.2685,11334000000,11492000000,11648000000,11806000000,11966000000,12124000000,12286000000,12446000000,12608000000,12770000000,12932000000,13092000000
134,NLD,Netherlands,Amsterdam,52.35,4.9166,33136000000,33252000000,33366000000,33476000000,33584000000,33688000000,33786000000,33876000000,33962000000,34042000000,34120000000,34194000000
135,NOR,Norway,Oslo,59.9167,10.75,9542000000,9654000000,9772000000,9896000000,10028000000,10158000000,10284000000,10400000000,10502000000,10592000000,10676000000,10758000000
136,NPL,Nepal,Kathmandu,27.7167,85.3166,53334000000,53768000000,54026000000,54082000000,53978000000,53834000000,53812000000,54030000000,54526000000,55266000000,56192000000,57218000000
137,NZL,New Zealand,Wellington,-41.3,174.7833,8556000000,8646000000,8740000000,8838000000,8936000000,9038000000,9136000000,9230000000,9318000000,9404000000,9486000000,9566000000
138,OMN,Oman,Muscat,23.6133,58.5933,5502000000,5752000000,6082000000,6502000000,6996000000,7530000000,8054000000,8534000000,8958000000,9332000000,9658000000,9950000000
