,Code,Country,City,Latitude,Longitude,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
56,ESP,Spain,Madrid,40.4,-3.6834,46069000,46584000,46931000,47084000,47063000,46931000,46778000,46672000,46634000,46647000,46693000,46737000
57,EST,Estonia,Tallinn,59.4339,24.728,1340000,1336000,1332000,1328000,1323000,1319000,1316000,1315000,1317000,1319000,1323000,1326000
58,ETH,Ethiopia,Addis Ababa,9.0333,38.7,82916000,85234000,87640000,90140000,92727000,95386000,98094000,100835000,103603000,106400000,109224000,112079000
59,FIN,Finland,Helsinki,60.1756,24.9341,5319000,5342000,5366000,5390000,5415000,5439000,5461000,5481000,5498000,5511000,5523000,5532000
60,FJI,Fiji,Suva,-18.133,178.4417,845000,854000,860000,863000,865000,866000,866000,869000,872000,877000,883000,890000
61,FRA,France,Paris,48.8667,2.3333,62209000,62543000,62880000,63222000,63564000,63894000,64194000,64453000,64668000,64843000,64991000,65130000
62,FSM,"Micronesia, Federated States Of",Palikir,6.9166,158.15,104000,103000,103000,103000,105000,106000,107000,109000,110000,111000,113000,114000
63,GAB,Gabon,Libreville,0.3854,9.458,1519000,1569000,1624000,1685000,1750000,1817000,1884000,1948000,2008000,2065000,2119000,2173000
64,GBR,United Kingdom,London,51.5,-0.1167,62145000,62829000,63460000,64022000,64525000,64984000,65423000,65860000,66298000,66727000,67142000,67530000
65,GEO,Georgia,Tbilisi,41.725,44.7908,4143000,4119000,4099000,4081000,4064000,4049000,4035000,4024000,4015000,4009000,4003000,3997000
66,GHA,Ghana,Accra,5.55,-0.2167,23564000,24171000,24780000,25388000,25996000,26608000,27224000,27849000,28482000,29121000,29767000,30418000
67,GIN,Guinea,Conakry,9.5315,-13.6802,9739000,9964000,10192000,10420000,10652000,10893000,11151000,11432000,11738000,12068000,12414000,12771000
68,GMB,"Gambia, The",Banjul,13.4539,-16.5917,1689000,1740000,1793000,1848000,1905000,1964000,2024000,2086000,2149000,2214000,2280000,2348000
69,GNB,Guinea-Bissau,Bissau,11.865,-15.5984,1447000,1484000,1523000,1563000,1605000,1648000,1692000,1737000,1782000,1828000,1874000,1921000
70,GNQ,Equatorial Guinea,Malabo,3.75,8.7833,861000,902000,944000,987000,1031000,1076000,1122000,1169000,1215000,1262000,1309000,1356000
71,GRC,Greece,Athens,37.9833,23.7333,11040000,10959000,10888000,10829000,10781000,10741000,10701000,10660000,10615000,10569000,10522000,10473000
72,GRD,Grenada,Saint George’s,12.0526,-61.7416,105000,106000,106000,107000,107000,108000,109000,110000,110000,111000,111000,112000
73,GTM,Guatemala,Guatemala City,14.6211,-90.527,14006000,14316000,14630000,14949000,15271000,15596000,15923000,16252000,16583000,16915000,17248000,17581000
74,GUM,Guam,Hagåtña,13.4745,144.7504,159000,159000,159000,160000,160000,160000,161000,162000,163000,164000,166000,167000
75,GUY,Guyana,Georgetown,6.8020000000000005,-58.167,747000,748000,749000,752000,755000,759000,763000,767000,771000,775000,779000,783000
76,HND,Honduras,Tegucigalpa,14.102,-87.2175,7981000,8151000,8317000,8481000,8641000,8799000,8956000,9113000,9271000,9429000,9588000,9746000
77,HRV,Croatia,Zagreb,45.8,16.0,4353000,4341000,4328000,4313000,4296000,4277000,4256000,4233000,4209000,4183000,4156000,4130000
78,HTI,Haiti,Port-au-Prince,18.541,-72.336,9647000,9798000,9949000,10100000,10251000,10401000,10549000,10696000,10840000,10982000,11123000,11263000
79,HUN,Hungary,Budapest,47.5,19.0833,9992000,9959000,9927000,9896000,9864000,9834000,9805000,9778000,9753000,9730000,9708000,9685000
80,IDN,Indonesia,Jakarta,-6.1744,106.8294,235470000,238620992,241834000,245116000,248452000,251804992,255128000,258383008,261556000,264651008,267671008,270625984
81,IND,India,New Delhi,28.6,77.2,1200669952,1217725952,1234280960,1250288000,1265779968,1280841984,1295601024,1310151936,1324516992,1338676992,1352642048,1366418048
82,IRL,Ireland,Dublin,53.3331,-6.2489,4416000,4495000,4554000,4591000,4608000,4615000,4627000,4652000,4696000,4753000,4819000,4882000
83,IRN,Iran,Tehran,35.6719,51.4243,72121000,72925000,73763000,74635000,75540000,76482000,77466000,78492000,79564000,80674000,81800000,82914000
84,IRQ,Iraq,Baghdad,33.3386,44.3939,28386000,28973000,29742000,30725000,31890000,33157000,34412000,35572000,36611000,37553000,38434000,39310000
85,ISL,Iceland,Reykjavík,64.15,-21.95,311000,316000,320000,323000,326000,327000,329000,330000,332000,334000,337000,339000
86,ISR,Israel,Jerusalem,31.7784,35.2066,7021000,7190000,7346000,7487000,7615000,7735000,7854000,7978000,8109000,8244000,8382000,8519000
87,ITA,Italy,Rome,41.896,12.4833,58922000,59106000,59325000,59589000,59879000,60167000,60410000,60578000,60663000,60674000,60627000,60550000
88,JAM,Jamaica,Kingston,17.9771,-76.7674,2782000,2796000,2810000,2826000,2842000,2859000,2875000,2891000,2906000,2921000,2935000,2948000
89,JOR,Jordan,Amman,31.95,35.9333,6556000,6893000,7262000,7663000,8090000,8519000,8919000,9267000,9554000,9786000,9965000,10102000
90,JPN,Japan,Tokyo,35.685,139.7514,128539000,128555000,128542000,128499000,128424000,128314000,128169000,127985000,127763000,127503000,127202000,126860000
91,KAZ,Kazakhstan,Nur-Sultan,51.1811,71.4278,15862000,16043000,16252000,16491000,16752000,17026000,17303000,17572000,17831000,18080000,18320000,18551000
92,KEN,Kenya,Nairobi,-1.2833,36.8167,39792000,40902000,42031000,43178000,44343000,45520000,46700000,47878000,49052000,50221000,51393000,52574000
93,KGZ,Kyrgyzstan,Bishkek,42.8731,74.5852,5255000,5335000,5422000,5518000,5622000,5731000,5845000,5959000,6074000,6190000,6304000,6416000
94,KHM,Cambodia,Phnom Penh,11.55,104.9166,13884000,14094000,14312000,14541000,14780000,15026000,15275000,15521000,15766000,16009000,16250000,16487000
95,KIR,Kiribati,Tarawa,1.3382,173.0176,99000,101000,103000,105000,106000,108000,109000,111000,113000,114000,116000,118000
96,KNA,Saint Kitts And Nevis,Basseterre,17.302,-62.717,48000,49000,49000,49000,50000,50000,51000,51000,52000,52000,52000,53000
97,KOR,"Korea, South",Seoul,37.5663,126.9997,49182000,49347000,49546000,49786000,50061000,50346000,50608000,50823000,50983000,51096000,51172000,51225000
98,KWT,Kuwait,Kuwait City,29.3697,47.9783,2656000,2821000,2992000,3168000,3349000,3526000,3691000,3836000,3957000,4056000,4137000,4207000
99,LAO,Laos,Vientiane,17.9667,102.6,6047000,6149000,6249000,6348000,6445000,6541000,6640000,6741000,6846000,6953000,7061000,7169000
100,LBN,Lebanon,Beirut,33.872,35.5097,4765000,4813000,4953000,5202000,5538000,5913000,6261000,6533000,6714000,6819000,6859000,6856000
101,LBR,Liberia,Monrovia,6.3106,-10.8048,3608000,3754000,3891000,4017000,4136000,4248000,4360000,4472000,4587000,4702000,4819000,4937000
102,LBY,Libya,Tripoli,32.8925,13.18,6059000,6134000,6198000,6247000,6286000,6320000,6362000,6418000,6492000,6581000,6679000,6777000
103,LCA,Saint Lucia,Castries,14.002,-61.0,170000,172000,174000,176000,177000,178000,178000,179000,180000,181000,182000,183000
104,LIE,Liechtenstein,Vaduz,47.1337,9.5167,35000,36000,36000,36000,37000,37000,37000,37000,38000,38000,38000,38000
105,LKA,Sri Lanka,Colombo,6.932,79.8578,19984000,20124000,20262000,20398000,20533000,20663000,20789000,20908000,21021000,21128000,21229000,21324000
106,LKA,Sri Lanka,Sri Jayewardenepura Kotte,6.9,79.95,19984000,20124000,20262000,20398000,20533000,20663000,20789000,20908000,21021000,21128000,21229000,21324000
107,LSO,Lesotho,Maseru,-29.3167,27.4833,1987000,1990000,1996000,2004000,2015000,2029000,2043000,2059000,2075000,2092000,2108000,2125000
108,LTU,Lithuania,Vilnius,54.6834,25.3166,3213000,3167000,3124000,3083000,3046000,3009000,2971000,2932000,2890000,2845000,2801000,2760000
109,LUX,Luxembourg,Luxembourg,49.6117,6.13,485000,497000,508000,519000,531000,543000,555000,567000,579000,592000,604000,616000
110,LVA,Latvia,Riga,56.95,24.1,2171000,2145000,2119000,2094000,2069000,2045000,2021000,1998000,1974000,1951000,1928000,1907000
111,MAR,Morocco,Rabat,34.0253,-6.8361,31537000,31929000,32343000,32782000,33242000,33716000,34192000,34664000,35126000,35581000,36029000,36472000
112,MCO,Monaco,Monaco,43.7396,7.4069,35000,35000,36000,36000,36000,37000,37000,38000,38000,38000,39000,39000
